0021-52873543873-62,DEPOSIT,50000.00,50000.00,2026-05-08 10:55:15
0021-88756333622-02,DEPOSIT,10000.00,10000.00,2026-05-09 00:18:05
0021-52873543873-62,WITHDRAW,40000.00,10000.00,2026-05-09 00:18:20
0021-88756333622-02,DEPOSIT,5000.00,15000.00,2026-05-09 00:51:07
0021-47668770307-03,DEPOSIT,100000.00,100000.00,2026-05-09 00:51:39
0021-23481054306-04,DEPOSIT,50000.00,50000.00,2026-05-11 12:42:35
0021-23481054306-04,DEPOSIT,10000.00,60000.00,2026-05-11 12:42:56
0021-18565749076-05,DEPOSIT,1000000.00,1000000.00,2026-05-17 11:34:15
0021-18565749076-05,DEPOSIT,10000.00,1010000.00,2026-05-17 11:34:29
0021-18565749076-05,WITHDRAW,1000.00,1009000.00,2026-05-17 11:34:45
0021-88756333622-02,WITHDRAW,10000.00,5000.00,2026-05-19 13:58:19
